Shipping ID,Carrier Code,Carrier Name
167,3,ArcBest
168,2,FedEX
169,3,ArcBest
170,3,ArcBest
171,4,UPS
172,5,Hub Group
173,3,ArcBest
174,2,FedEX
175,2,FedEX
176,3,ArcBest
177,2,FedEX
178,3,ArcBest
179,2,FedEX
180,2,FedEX
181,3,ArcBest
182,5,Hub Group
183,1,DHL
184,2,FedEX
185,4,UPS
186,3,ArcBest
187,3,ArcBest
188,5,Hub Group
189,5,Hub Group
190,5,Hub Group
191,5,Hub Group
192,2,FedEX
193,2,FedEX
194,4,UPS
195,3,ArcBest
196,1,DHL
197,1,DHL
198,4,UPS
199,2,FedEX
200,5,Hub Group
201,3,ArcBest
202,4,UPS
203,4,UPS
204,2,FedEX
205,2,FedEX
206,1,DHL
207,3,ArcBest
208,2,FedEX
209,3,ArcBest
210,2,FedEX
211,2,FedEX
212,2,FedEX
213,5,Hub Group
214,2,FedEX
215,3,ArcBest
216,4,UPS
217,5,Hub Group
218,4,UPS
219,4,UPS
220,1,DHL
221,4,UPS
222,1,DHL
223,1,DHL
224,3,ArcBest
225,3,ArcBest
226,2,FedEX
227,1,DHL
228,1,DHL
229,3,ArcBest
230,4,UPS
231,3,ArcBest
232,3,ArcBest
233,3,ArcBest
234,3,ArcBest
235,3,ArcBest
236,3,ArcBest
237,3,ArcBest
238,3,ArcBest
239,3,ArcBest
240,3,ArcBest
241,4,UPS
242,4,UPS
243,3,ArcBest
244,3,ArcBest
245,3,ArcBest
246,3,ArcBest
247,3,ArcBest
248,3,ArcBest
249,3,ArcBest
250,3,ArcBest
251,3,ArcBest
252,3,ArcBest
253,3,ArcBest
254,3,ArcBest
255,3,ArcBest
256,3,ArcBest
257,3,ArcBest
258,3,ArcBest
259,3,ArcBest
260,3,ArcBest
261,3,ArcBest
262,5,Hub Group
263,4,UPS
264,3,ArcBest
265,5,Hub Group
266,3,ArcBest
267,3,ArcBest
268,4,UPS
269,4,UPS
270,5,Hub Group
271,3,ArcBest
272,3,ArcBest
273,3,ArcBest
274,3,ArcBest
275,1,DHL
276,1,DHL
277,3,ArcBest
278,4,UPS
279,1,DHL
280,2,FedEX
281,2,FedEX
282,3,ArcBest
283,4,UPS
284,5,Hub Group
285,3,ArcBest
286,3,ArcBest
287,3,ArcBest
288,3,ArcBest
289,4,UPS
290,3,ArcBest
291,3,ArcBest
292,4,UPS
293,4,UPS
294,5,Hub Group
295,3,ArcBest
296,4,UPS
297,3,ArcBest
298,3,ArcBest
299,3,ArcBest
300,3,ArcBest
301,3,ArcBest
302,3,ArcBest
303,3,ArcBest
304,3,ArcBest
305,3,ArcBest
306,3,ArcBest
307,3,ArcBest
308,3,ArcBest
309,4,UPS
310,4,UPS
311,3,ArcBest
312,4,UPS
313,3,ArcBest
314,3,ArcBest
315,3,ArcBest
316,3,ArcBest
317,3,ArcBest
318,5,Hub Group
319,4,UPS
320,3,ArcBest
321,3,ArcBest
322,4,UPS
323,5,Hub Group
324,3,ArcBest
325,3,ArcBest
326,3,ArcBest
327,3,ArcBest
328,3,ArcBest
329,3,ArcBest
330,3,ArcBest
331,5,Hub Group
332,3,ArcBest
333,3,ArcBest
334,3,ArcBest
335,5,Hub Group
336,5,Hub Group
337,5,Hub Group
338,3,ArcBest
339,5,Hub Group
340,4,UPS
341,3,ArcBest
342,4,UPS
343,3,ArcBest
344,3,ArcBest
345,3,ArcBest
346,3,ArcBest
347,3,ArcBest
348,3,ArcBest
349,4,UPS
350,3,ArcBest
351,3,ArcBest
352,5,Hub Group
353,3,ArcBest
354,3,ArcBest
355,3,ArcBest
356,3,ArcBest
357,3,ArcBest
358,3,ArcBest
359,3,ArcBest
360,4,UPS
361,3,ArcBest
362,3,ArcBest
363,4,UPS
364,5,Hub Group
365,3,ArcBest
366,5,Hub Group
367,3,ArcBest
368,3,ArcBest
369,5,Hub Group
370,5,Hub Group
371,4,UPS
372,4,UPS
373,5,Hub Group
374,5,Hub Group
375,3,ArcBest
376,3,ArcBest
377,3,ArcBest
378,3,ArcBest
379,3,ArcBest
380,5,Hub Group
381,3,ArcBest
382,3,ArcBest
383,3,ArcBest
384,3,ArcBest
385,3,ArcBest
386,5,Hub Group
387,3,ArcBest
388,3,ArcBest
389,4,UPS
390,3,ArcBest
391,3,ArcBest
392,3,ArcBest
393,5,Hub Group
394,3,ArcBest
395,3,ArcBest
396,3,ArcBest
397,3,ArcBest
398,3,ArcBest
399,5,Hub Group
400,3,ArcBest
401,3,ArcBest
402,3,ArcBest
403,3,ArcBest
404,4,UPS
405,5,Hub Group
406,3,ArcBest
407,4,UPS
408,3,ArcBest
409,4,UPS
410,3,ArcBest
411,3,ArcBest
412,5,Hub Group
413,4,UPS
414,3,ArcBest
415,3,ArcBest
416,3,ArcBest
417,3,ArcBest
418,3,ArcBest
419,3,ArcBest
420,5,Hub Group
421,4,UPS
422,3,ArcBest
423,3,ArcBest
424,5,Hub Group
425,3,ArcBest
426,3,ArcBest
427,3,ArcBest
428,3,ArcBest
429,3,ArcBest
430,4,UPS
431,3,ArcBest
432,3,ArcBest
433,4,UPS
434,3,ArcBest
435,5,Hub Group
436,3,ArcBest
437,3,ArcBest
438,3,ArcBest
439,3,ArcBest
440,3,ArcBest
441,3,ArcBest
442,3,ArcBest
443,5,Hub Group
444,5,Hub Group
445,4,UPS
446,3,ArcBest
447,3,ArcBest
448,3,ArcBest
449,3,ArcBest
450,3,ArcBest
451,3,ArcBest
452,3,ArcBest
453,3,ArcBest
454,3,ArcBest
455,3,ArcBest
456,4,UPS
457,5,Hub Group
458,3,ArcBest
459,3,ArcBest
460,3,ArcBest
461,3,ArcBest
462,4,UPS
463,5,Hub Group
464,3,ArcBest
465,5,Hub Group
466,3,ArcBest
467,4,UPS
468,3,ArcBest
469,3,ArcBest
470,5,Hub Group
471,3,ArcBest
472,3,ArcBest
473,3,ArcBest
474,3,ArcBest
475,3,ArcBest
476,4,UPS
477,3,ArcBest
478,5,Hub Group
479,3,ArcBest
480,3,ArcBest
481,3,ArcBest
482,3,ArcBest
483,3,ArcBest
484,5,Hub Group
485,3,ArcBest
486,3,ArcBest
487,3,ArcBest
488,3,ArcBest
489,3,ArcBest
490,3,ArcBest
491,3,ArcBest
492,5,Hub Group
493,3,ArcBest
494,4,UPS
495,3,ArcBest
496,4,UPS
497,4,UPS
498,3,ArcBest
499,3,ArcBest
500,3,ArcBest
501,3,ArcBest
502,4,UPS
503,4,UPS
504,4,UPS
505,4,UPS
506,5,Hub Group
507,4,UPS
508,3,ArcBest
509,3,ArcBest
510,5,Hub Group
511,3,ArcBest
512,3,ArcBest
513,4,UPS
514,3,ArcBest
515,4,UPS
516,4,UPS
517,5,Hub Group
518,3,ArcBest
519,4,UPS
520,3,ArcBest
521,3,ArcBest
522,3,ArcBest
523,3,ArcBest
524,3,ArcBest
525,3,ArcBest
526,3,ArcBest
527,3,ArcBest
528,3,ArcBest
529,4,UPS
530,3,ArcBest
531,4,UPS
532,5,Hub Group
533,5,Hub Group
534,3,ArcBest
535,4,UPS
536,3,ArcBest
537,3,ArcBest
538,3,ArcBest
539,3,ArcBest
540,5,Hub Group
541,3,ArcBest
542,3,ArcBest
543,5,Hub Group
544,5,Hub Group
545,3,ArcBest
546,5,Hub Group
547,5,Hub Group
548,3,ArcBest
549,3,ArcBest
550,3,ArcBest
551,4,UPS
552,4,UPS
553,4,UPS
554,3,ArcBest
555,3,ArcBest
556,4,UPS
557,3,ArcBest
558,3,ArcBest
559,5,Hub Group
560,3,ArcBest
561,3,ArcBest
562,3,ArcBest
563,3,ArcBest
564,3,ArcBest
565,4,UPS
566,3,ArcBest
567,3,ArcBest
568,4,UPS
569,3,ArcBest
570,5,Hub Group
571,5,Hub Group
572,3,ArcBest
573,3,ArcBest
574,3,ArcBest
575,3,ArcBest
576,3,ArcBest
577,3,ArcBest
578,4,UPS
579,3,ArcBest
580,3,ArcBest
581,3,ArcBest
582,3,ArcBest
583,3,ArcBest
584,3,ArcBest
585,3,ArcBest
586,3,ArcBest
587,3,ArcBest
588,3,ArcBest
589,5,Hub Group
590,3,ArcBest
591,5,Hub Group
592,3,ArcBest
593,3,ArcBest
594,3,ArcBest
595,3,ArcBest
596,4,UPS
597,5,Hub Group
598,3,ArcBest
599,4,UPS
600,4,UPS
601,3,ArcBest
602,4,UPS
603,4,UPS
604,3,ArcBest
605,3,ArcBest
606,3,ArcBest
607,4,UPS
608,3,ArcBest
609,3,ArcBest
610,3,ArcBest
611,3,ArcBest
612,3,ArcBest
613,3,ArcBest
614,5,Hub Group
615,3,ArcBest
616,3,ArcBest
617,3,ArcBest
618,4,UPS
619,4,UPS
620,3,ArcBest
621,4,UPS
622,3,ArcBest
623,3,ArcBest
624,5,Hub Group
625,3,ArcBest
626,3,ArcBest
627,3,ArcBest
628,4,UPS
629,3,ArcBest
630,3,ArcBest
631,5,Hub Group
632,3,ArcBest
633,3,ArcBest
634,3,ArcBest
635,4,UPS
636,3,ArcBest
637,3,ArcBest
638,3,ArcBest
639,3,ArcBest
640,4,UPS
641,3,ArcBest
642,5,Hub Group
643,3,ArcBest
644,3,ArcBest
645,3,ArcBest
646,4,UPS
647,3,ArcBest
648,4,UPS
649,4,UPS
650,3,ArcBest
651,3,ArcBest
652,3,ArcBest
653,3,ArcBest
654,3,ArcBest
655,5,Hub Group
656,3,ArcBest
657,3,ArcBest
658,5,Hub Group
659,4,UPS
660,3,ArcBest
661,3,ArcBest
662,3,ArcBest
663,4,UPS
664,3,ArcBest
665,3,ArcBest
666,3,ArcBest
667,3,ArcBest
668,3,ArcBest
669,3,ArcBest
670,4,UPS
671,3,ArcBest
672,3,ArcBest
673,3,ArcBest
674,3,ArcBest
675,4,UPS
676,3,ArcBest
677,4,UPS
678,5,Hub Group
679,5,Hub Group
680,3,ArcBest
681,5,Hub Group
682,3,ArcBest
683,3,ArcBest
684,4,UPS
685,3,ArcBest
686,4,UPS
687,3,ArcBest
688,4,UPS
689,4,UPS
690,5,Hub Group
691,3,ArcBest
692,3,ArcBest
693,3,ArcBest
694,4,UPS
695,5,Hub Group
696,3,ArcBest
697,3,ArcBest
698,4,UPS
699,3,ArcBest
700,4,UPS
701,5,Hub Group
702,4,UPS
703,3,ArcBest
704,3,ArcBest
705,3,ArcBest
706,3,ArcBest
707,3,ArcBest
708,3,ArcBest
709,3,ArcBest
710,3,ArcBest
711,3,ArcBest
712,3,ArcBest
713,3,ArcBest
714,3,ArcBest
715,3,ArcBest
716,3,ArcBest
717,3,ArcBest
718,3,ArcBest
719,3,ArcBest
720,3,ArcBest
721,3,ArcBest
722,3,ArcBest
723,3,ArcBest
724,3,ArcBest
725,3,ArcBest
726,3,ArcBest
727,3,ArcBest
728,3,ArcBest
729,4,UPS
730,3,ArcBest
731,5,Hub Group
732,4,UPS
733,3,ArcBest
734,3,ArcBest
735,5,Hub Group
736,3,ArcBest
737,4,UPS
738,5,Hub Group
739,3,ArcBest
740,4,UPS
741,3,ArcBest
742,4,UPS
743,3,ArcBest
744,4,UPS
745,3,ArcBest
746,3,ArcBest
747,4,UPS
748,3,ArcBest
749,1,DHL
750,4,UPS
751,3,ArcBest
752,4,UPS
753,4,UPS
754,1,DHL
755,1,DHL
756,5,Hub Group
757,4,UPS
758,2,FedEX
759,3,ArcBest
760,3,ArcBest
761,2,FedEX
762,1,DHL
763,2,FedEX
764,4,UPS
765,1,DHL
766,4,UPS
767,3,ArcBest
768,1,DHL
769,5,Hub Group
770,3,ArcBest
771,3,ArcBest
772,5,Hub Group
773,3,ArcBest
774,3,ArcBest
775,2,FedEX
776,3,ArcBest
777,5,Hub Group
778,4,UPS
779,3,ArcBest
780,5,Hub Group
781,2,FedEX
782,3,ArcBest
783,3,ArcBest
784,4,UPS
785,2,FedEX
786,4,UPS
787,3,ArcBest
788,3,ArcBest
789,3,ArcBest
790,3,ArcBest
791,4,UPS
792,3,ArcBest
793,3,ArcBest
794,3,ArcBest
795,3,ArcBest
796,2,FedEX
797,3,ArcBest
798,3,ArcBest
799,3,ArcBest
800,3,ArcBest
801,3,ArcBest
802,3,ArcBest
803,3,ArcBest
804,2,FedEX
805,3,ArcBest
806,3,ArcBest
807,4,UPS
808,3,ArcBest
809,2,FedEX
810,3,ArcBest
811,3,ArcBest
812,3,ArcBest
813,4,UPS
814,3,ArcBest
815,3,ArcBest
816,3,ArcBest
817,3,ArcBest
818,2,FedEX
819,3,ArcBest
820,3,ArcBest
821,2,FedEX
822,3,ArcBest
823,2,FedEX
824,3,ArcBest
825,3,ArcBest
826,3,ArcBest
827,3,ArcBest
828,3,ArcBest
829,3,ArcBest
830,3,ArcBest
831,2,FedEX
832,3,ArcBest
833,3,ArcBest
834,3,ArcBest
835,3,ArcBest
836,4,UPS
837,3,ArcBest
838,3,ArcBest
839,3,ArcBest
840,3,ArcBest
841,4,UPS
842,2,FedEX
843,3,ArcBest
844,4,UPS
845,3,ArcBest
846,3,ArcBest
847,4,UPS
848,3,ArcBest
849,4,UPS
850,4,UPS
851,2,FedEX
852,3,ArcBest
853,3,ArcBest
854,3,ArcBest
855,4,UPS
856,1,DHL
857,1,DHL
858,3,ArcBest
859,1,DHL
860,1,DHL
861,3,ArcBest
862,2,FedEX
863,2,FedEX
864,3,ArcBest
865,2,FedEX
866,3,ArcBest
867,4,UPS
868,2,FedEX
869,1,DHL
870,1,DHL
871,2,FedEX
872,4,UPS
873,3,ArcBest
874,3,ArcBest
875,3,ArcBest
876,3,ArcBest
877,3,ArcBest
878,2,FedEX
879,3,ArcBest
880,3,ArcBest
881,3,ArcBest
882,3,ArcBest
883,3,ArcBest
884,4,UPS
885,3,ArcBest
886,3,ArcBest
887,3,ArcBest
888,3,ArcBest
889,3,ArcBest
890,3,ArcBest
891,3,ArcBest
892,4,UPS
893,3,ArcBest
894,3,ArcBest
895,3,ArcBest
896,3,ArcBest
897,3,ArcBest
898,3,ArcBest
899,3,ArcBest
900,3,ArcBest
901,3,ArcBest
902,3,ArcBest
903,3,ArcBest
904,4,UPS
905,3,ArcBest
906,3,ArcBest
907,4,UPS
908,3,ArcBest
909,3,ArcBest
910,3,ArcBest
911,4,UPS
912,3,ArcBest
913,3,ArcBest
914,3,ArcBest
915,3,ArcBest
916,3,ArcBest
917,3,ArcBest
918,3,ArcBest
919,3,ArcBest
920,3,ArcBest
921,3,ArcBest
922,3,ArcBest
923,3,ArcBest
924,3,ArcBest
925,4,UPS
926,4,UPS
927,3,ArcBest
928,3,ArcBest
929,3,ArcBest
930,3,ArcBest
931,3,ArcBest
932,3,ArcBest
933,3,ArcBest
934,3,ArcBest
935,3,ArcBest
936,3,ArcBest
937,4,UPS
938,3,ArcBest
939,3,ArcBest
940,4,UPS
941,3,ArcBest
942,3,ArcBest
943,4,UPS
944,4,UPS
945,3,ArcBest
946,3,ArcBest
947,3,ArcBest
948,3,ArcBest
949,3,ArcBest
950,3,ArcBest
951,3,ArcBest
952,3,ArcBest
953,3,ArcBest
954,3,ArcBest
955,3,ArcBest
956,4,UPS
957,3,ArcBest
958,3,ArcBest
959,3,ArcBest
960,3,ArcBest
961,3,ArcBest
962,3,ArcBest
963,3,ArcBest
964,4,UPS
965,3,ArcBest
966,3,ArcBest
967,3,ArcBest
968,4,UPS
969,3,ArcBest
970,3,ArcBest
971,4,UPS
972,3,ArcBest
973,3,ArcBest
974,3,ArcBest
975,3,ArcBest
976,3,ArcBest
977,3,ArcBest
978,3,ArcBest
979,3,ArcBest
980,3,ArcBest
981,4,UPS
982,3,ArcBest
983,3,ArcBest
984,3,ArcBest
985,4,UPS
986,3,ArcBest
987,3,ArcBest
988,3,ArcBest
989,3,ArcBest
990,3,ArcBest
991,3,ArcBest
992,4,UPS
993,4,UPS
994,3,ArcBest
995,3,ArcBest
996,4,UPS
997,3,ArcBest
998,3,ArcBest
999,3,ArcBest
1000,3,ArcBest
1001,3,ArcBest
1002,3,ArcBest
1003,3,ArcBest
1004,3,ArcBest
1005,3,ArcBest
1006,3,ArcBest
1007,3,ArcBest
1008,3,ArcBest
1009,3,ArcBest
1010,3,ArcBest
1011,3,ArcBest
1012,4,UPS
1013,3,ArcBest
1014,3,ArcBest
1015,3,ArcBest
1016,3,ArcBest
1017,3,ArcBest
1018,3,ArcBest
1019,3,ArcBest
1020,3,ArcBest
1021,3,ArcBest
1022,3,ArcBest
1023,3,ArcBest
1024,3,ArcBest
1025,3,ArcBest
1026,3,ArcBest
1027,3,ArcBest
1028,3,ArcBest
1029,3,ArcBest
1030,3,ArcBest
1031,4,UPS
1032,3,ArcBest
1033,3,ArcBest
1034,3,ArcBest
1035,4,UPS
1036,3,ArcBest
1037,4,UPS
1038,3,ArcBest
1039,3,ArcBest
1040,3,ArcBest
1041,3,ArcBest
1042,3,ArcBest
1043,4,UPS
1044,3,ArcBest
1045,3,ArcBest
1046,3,ArcBest
1047,3,ArcBest
1048,3,ArcBest
1049,3,ArcBest
1050,3,ArcBest
1051,4,UPS
1052,3,ArcBest
1053,4,UPS
1054,3,ArcBest
1055,3,ArcBest
1056,3,ArcBest
1057,3,ArcBest
1058,4,UPS
1059,3,ArcBest
1060,4,UPS
1061,3,ArcBest
1062,3,ArcBest
1063,3,ArcBest
1064,3,ArcBest
1065,4,UPS
1066,3,ArcBest
1067,3,ArcBest
1068,3,ArcBest
1069,3,ArcBest
1070,3,ArcBest
1071,3,ArcBest
1072,4,UPS
1073,3,ArcBest
1074,3,ArcBest
1075,3,ArcBest
1076,3,ArcBest
1077,3,ArcBest
1078,3,ArcBest
1079,4,UPS
1080,4,UPS
1081,3,ArcBest
1082,3,ArcBest
1083,3,ArcBest
1084,3,ArcBest
1085,3,ArcBest
1086,3,ArcBest
1087,4,UPS
1088,4,UPS
1089,3,ArcBest
1090,3,ArcBest
1091,4,UPS
1092,3,ArcBest
1093,3,ArcBest
1094,4,UPS
1095,3,ArcBest
1096,4,UPS
1097,4,UPS
1098,3,ArcBest
1099,3,ArcBest
1100,3,ArcBest
1101,3,ArcBest
1102,3,ArcBest
1103,3,ArcBest
1104,3,ArcBest
1105,3,ArcBest
1106,3,ArcBest
1107,3,ArcBest
1108,3,ArcBest
1109,3,ArcBest
1110,3,ArcBest
1111,3,ArcBest
1112,3,ArcBest
1113,3,ArcBest
1114,3,ArcBest
1115,3,ArcBest
1116,3,ArcBest
1117,3,ArcBest
1118,3,ArcBest
1119,3,ArcBest
1120,3,ArcBest
1121,3,ArcBest
1122,3,ArcBest
1123,3,ArcBest
1124,3,ArcBest
1125,3,ArcBest
1126,3,ArcBest
1127,3,ArcBest
1128,3,ArcBest
1129,3,ArcBest
1130,3,ArcBest
1131,3,ArcBest
1132,3,ArcBest
1133,4,UPS
1134,3,ArcBest
1135,3,ArcBest
1136,3,ArcBest
1137,3,ArcBest
1138,4,UPS
1139,3,ArcBest
1140,3,ArcBest
1141,4,UPS
1142,3,ArcBest
1143,3,ArcBest
1144,3,ArcBest
1145,3,ArcBest
1146,3,ArcBest
1147,3,ArcBest
1148,3,ArcBest
1149,3,ArcBest
1150,3,ArcBest
1151,3,ArcBest
1152,4,UPS
1153,3,ArcBest
1154,4,UPS
1155,3,ArcBest
1156,3,ArcBest
1157,3,ArcBest
1158,3,ArcBest
1159,3,ArcBest
1160,3,ArcBest
1161,3,ArcBest
1162,3,ArcBest
1163,4,UPS
1164,3,ArcBest
1165,3,ArcBest
1166,3,ArcBest
1167,3,ArcBest
1168,4,UPS
1169,3,ArcBest
1170,3,ArcBest
1171,3,ArcBest
1172,4,UPS
1173,4,UPS
1174,4,UPS
1175,3,ArcBest
1176,3,ArcBest
1177,3,ArcBest
1178,3,ArcBest
1179,3,ArcBest
1180,3,ArcBest
1181,3,ArcBest
1182,3,ArcBest
1183,3,ArcBest
1184,3,ArcBest
1185,4,UPS
1186,4,UPS
1187,3,ArcBest
1188,3,ArcBest
1189,3,ArcBest
1190,3,ArcBest
1191,4,UPS
1192,3,ArcBest
1193,3,ArcBest
1194,3,ArcBest
1195,3,ArcBest
1196,3,ArcBest
1197,3,ArcBest
1198,4,UPS
1199,3,ArcBest
1200,3,ArcBest
1201,3,ArcBest
1202,4,UPS
1203,3,ArcBest
1204,3,ArcBest
1205,3,ArcBest
1206,3,ArcBest
1207,3,ArcBest
1208,4,UPS
1209,3,ArcBest
1210,3,ArcBest
1211,3,ArcBest
1212,4,UPS
1213,3,ArcBest
1214,3,ArcBest
1215,4,UPS
1216,3,ArcBest
1217,3,ArcBest
1218,3,ArcBest
1219,4,UPS
1220,3,ArcBest
1221,3,ArcBest
1222,4,UPS
1223,3,ArcBest
1224,4,UPS
1225,4,UPS
1226,3,ArcBest
1227,3,ArcBest
1228,3,ArcBest
1229,3,ArcBest
1230,3,ArcBest
1231,3,ArcBest
1232,3,ArcBest
1233,3,ArcBest
1234,3,ArcBest
1235,3,ArcBest
1236,3,ArcBest
1237,3,ArcBest
1238,3,ArcBest
1239,3,ArcBest
1240,3,ArcBest
1241,3,ArcBest
1242,3,ArcBest
1243,3,ArcBest
1244,3,ArcBest
1245,3,ArcBest
1246,3,ArcBest
1247,3,ArcBest
1248,3,ArcBest
1249,3,ArcBest
1250,3,ArcBest
1251,4,UPS
1252,3,ArcBest
1253,3,ArcBest
1254,3,ArcBest
1255,3,ArcBest
1256,3,ArcBest
1257,3,ArcBest
1258,3,ArcBest
1259,3,ArcBest
1260,3,ArcBest
1261,4,UPS
1262,3,ArcBest
1263,3,ArcBest
1264,4,UPS
1265,4,UPS
1266,4,UPS
1267,4,UPS
1268,3,ArcBest
1269,3,ArcBest
1270,3,ArcBest
1271,3,ArcBest
1272,3,ArcBest
1273,4,UPS
1274,3,ArcBest
1275,3,ArcBest
1276,3,ArcBest
1277,3,ArcBest
1278,3,ArcBest
1279,3,ArcBest
1280,3,ArcBest
1281,3,ArcBest
1282,4,UPS
1283,3,ArcBest
1284,3,ArcBest
1285,3,ArcBest
1286,3,ArcBest
1287,3,ArcBest
1288,3,ArcBest
1289,3,ArcBest
1290,3,ArcBest
1291,3,ArcBest
1292,3,ArcBest
1293,3,ArcBest
1294,3,ArcBest
1295,3,ArcBest
1296,4,UPS
1297,3,ArcBest
1298,3,ArcBest
1299,3,ArcBest
1300,3,ArcBest
1301,3,ArcBest
1302,3,ArcBest
1303,3,ArcBest
1304,3,ArcBest
1305,3,ArcBest
1306,3,ArcBest
1307,3,ArcBest
1308,3,ArcBest
1309,3,ArcBest
1310,3,ArcBest
1311,3,ArcBest
1312,3,ArcBest
1313,3,ArcBest
1314,4,UPS
1315,4,UPS
1316,3,ArcBest
1317,3,ArcBest
1318,4,UPS
1319,3,ArcBest
1320,3,ArcBest
1321,3,ArcBest
1322,3,ArcBest
1323,3,ArcBest
1324,3,ArcBest
1325,4,UPS
1326,4,UPS
1327,3,ArcBest
1328,3,ArcBest
1329,4,UPS
1330,3,ArcBest
1331,3,ArcBest
1332,3,ArcBest
1333,3,ArcBest
1334,4,UPS
1335,3,ArcBest
1336,4,UPS
1337,3,ArcBest
1338,3,ArcBest
1339,3,ArcBest
1340,3,ArcBest
1341,3,ArcBest
1342,3,ArcBest
1343,3,ArcBest
1344,3,ArcBest
1345,4,UPS
1346,4,UPS
1347,3,ArcBest
1348,4,UPS
1349,3,ArcBest
1350,3,ArcBest
1351,3,ArcBest
1352,3,ArcBest
1353,3,ArcBest
1354,3,ArcBest
1355,3,ArcBest
1356,4,UPS
1357,3,ArcBest
1358,3,ArcBest
1359,3,ArcBest
1360,3,ArcBest
1361,3,ArcBest
1362,3,ArcBest
1363,3,ArcBest
1364,3,ArcBest
1365,3,ArcBest
1366,3,ArcBest
1367,3,ArcBest
1368,3,ArcBest
1369,3,ArcBest
1370,4,UPS
1371,3,ArcBest
1372,3,ArcBest
1373,3,ArcBest
1374,3,ArcBest
1375,3,ArcBest
1376,3,ArcBest
1377,3,ArcBest
1378,3,ArcBest
1379,3,ArcBest
1380,3,ArcBest
1381,3,ArcBest
1382,3,ArcBest
1383,3,ArcBest
1384,4,UPS
1385,3,ArcBest
1386,3,ArcBest
1387,3,ArcBest
1388,3,ArcBest
1389,3,ArcBest
1390,3,ArcBest
1391,3,ArcBest
1392,3,ArcBest
1393,3,ArcBest
1394,4,UPS
1395,3,ArcBest
1396,4,UPS
1397,3,ArcBest
1398,4,UPS
1399,3,ArcBest
1400,3,ArcBest
1401,3,ArcBest
1402,3,ArcBest
1403,3,ArcBest
1404,3,ArcBest
1405,3,ArcBest
1406,3,ArcBest
1407,3,ArcBest
1408,3,ArcBest
1409,3,ArcBest
1410,3,ArcBest
1411,3,ArcBest
1412,4,UPS
1413,3,ArcBest
1414,3,ArcBest
1415,4,UPS
1416,3,ArcBest
