Product ID,Category Code,Category Name,Sub-Category Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail
22,1012100,WHISKEY,CANADIAN WHISKIES,13038,CANADIAN RESERVE WHISKY,6,1750,9,13.5
23,1011100,WHISKEY,BLENDED WHISKIES,22786,BEAM'S 8 STAR BL WHISKEY,12,750,4,6
24,1031200,VODKA,AMERICAN FLAVORED VODKA,40193,NEW AMSTERDAM PINEAPPLE,12,750,7.5,11.25
25,1031100,VODKA,AMERICAN VODKAS,37996,SMIRNOFF 80PRF,12,750,8.25,12.38
26,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,73986,DI AMORE AMARETTO,12,750,6,9
27,1051100,BRANDY,AMERICAN BRANDIES,53213,PAUL MASSON GRANDE AMBER BRANDY,24,200,1.96,2.94
28,1031100,VODKA,AMERICAN VODKAS,36978,NIKOLAI VODKA,6,1750,6.92,10.38
29,1082200,VODKA,IMPORTED SCHNAPPS,69656,DR. MCGILLICUDDY'S MENTHOLMINT,12,750,8.66,12.99
30,1011600,WHISKEY,STRAIGHT RYE WHISKIES,27102,TEMPLETON 4YR RYE,6,750,18.09,27.14
31,1031200,VODKA,AMERICAN FLAVORED VODKA,40359,BURNETT'S STRAWBERRY BANANA,12,750,4.48,6.72
32,1012100,WHISKEY,CANADIAN WHISKIES,10803,CROWN ROYAL REGAL APPLE MINI,10,300,7.35,11.03
33,1062400,RUM,SPICED RUM,43986,ADMIRAL NELSON CHERRY SPICED RUM,6,1750,11.55,17.33
34,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,79516,ARROW CREME DE MENTHE WHITE,12,750,4.74,7.11
35,1031100,VODKA,AMERICAN VODKAS,37994,SMIRNOFF 80PRF,24,375,4.75,7.13
36,1081400,VODKA,AMERICAN SCHNAPPS,81207,PARAMOUNT PEPPERMINT SCHNAPPS,12,1000,4.06,6.09
37,1011100,WHISKEY,BLENDED WHISKIES,25606,SEAGRAMS 7 CROWN BL WHISKEY,12,750,7,10.5
38,1042100,GIN,IMPORTED DRY GINS,28865,TANQUERAY GIN,24,375,6.99,10.49
39,1011400,WHISKEY,TENNESSEE WHISKIES,26828,JACK DANIELS OLD #7 BLACK LBL,6,1750,30.68,46.02
40,1051100,BRANDY,AMERICAN BRANDIES,52581,E & J VSOP SUPERIOR RESERVE,24,375,3.75,5.63
41,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,65536,LUCID ABSINTHE,6,750,32.5,48.75
42,1051100,BRANDY,AMERICAN BRANDIES,52594,E & J VS BRANDY,24,375,3.49,5.24
43,1031200,VODKA,AMERICAN FLAVORED VODKA,41670,BURNETT'S BLUE RASPBERRY VODKA,12,750,4.48,6.72
44,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,75214,KINKY BLUE,12,750,10,15
45,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,64136,DISARONNO AMARETTO,12,750,13.86,20.79
46,1032100,VODKA,IMPORTED VODKAS,34759,REYKA,6,1750,18.5,27.75
47,1081200,LIQUEURS,CREAM LIQUEURS,80438,RICURA,6,750,10,15
48,1081600,WHISKEY,WHISKEY LIQUEUR,64863,FIREBALL CINNAMON WHISKEY,48,200,2.5,3.75
49,1012300,WHISKEY,SINGLE MALT SCOTCH,4846,DALWHINNIE 15 YR SINGLE MALT SCOTCH,12,750,34.49,51.74
50,1011600,WHISKEY,STRAIGHT RYE WHISKIES,27056,JIM BEAM RYE,12,750,14.69,22.04
51,1052100,BRANDY,IMPORTED BRANDIES,49189,REMY MARTIN VSOP,24,200,6.48,9.72
52,1012100,WHISKEY,CANADIAN WHISKIES,11788,BLACK VELVET,6,1750,10.45,15.68
53,1012300,WHISKEY,SINGLE MALT SCOTCH,5036,GLENLIVET 12YR,12,750,23.98,35.97
54,1022100,TEQUILA,MIXTO TEQUILA,89386,JUAREZ TEQUILA GOLD,12,750,7.5,11.25
55,1081600,WHISKEY,WHISKEY LIQUEUR,67267,YUKON JACK CANADIAN LIQUEUR,12,1000,11.75,17.63
56,1031200,VODKA,AMERICAN FLAVORED VODKA,77674,SMIRNOFF GREEN APPLE,12,750,8.25,12.38
57,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,66636,ROMANA SAMBUCA ITALIAN LIQUORE,12,750,13.5,20.25
58,1042100,GIN,IMPORTED DRY GINS,28868,TANQUERAY GIN,6,1750,24.99,37.49
59,1081200,LIQUEURS,CREAM LIQUEURS,65200,TEQUILA ROSE LIQUEUR,12,750,9.99,14.99
60,1062500,RUM,FLAVORED RUM,42714,MALIBU COCONUT RUM,24,375,3.99,5.99
61,1031100,VODKA,AMERICAN VODKAS,36305,HAWKEYE VODKA,12,750,3.34,5.01
62,1081200,LIQUEURS,CREAM LIQUEURS,73055,RUMCHATA,12,750,12.5,18.75
63,1062400,RUM,SPICED RUM,45886,SAILOR JERRY SPICED NAVY RUM,12,750,9.65,14.48
64,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,17956,EVAN WILLIAMS STR BOURBON,12,750,7.74,11.61
65,1012100,WHISKEY,CANADIAN WHISKIES,11348,SEAGRAMS V.O. BL CANADIAN WHISKY PET,6,1750,16,24
66,1032100,VODKA,IMPORTED VODKAS,34006,ABSOLUT SWEDISH VODKA 80 PRF,12,750,11.49,17.24
67,1031200,VODKA,AMERICAN FLAVORED VODKA,41299,BURNETT'S CHERRY VODKA,12,750,4.48,6.72
68,1081600,WHISKEY,WHISKEY LIQUEUR,66208,PIEHOLE CHERRY PIE,12,750,7.49,11.24
69,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,75212,KINKY BLUE MINI,6,500,4.84,7.26
70,1032100,VODKA,IMPORTED VODKAS,34578,PINNACLE VODKA,6,1750,12.59,18.89
71,1062200,RUM,WHITE RUM,43121,BACARDI SUPERIOR RUM MINI,12,500,5.54,8.31
72,1012100,WHISKEY,CANADIAN WHISKIES,14490,REVEL STOKE ROOTBEER,12,750,7.59,11.39
73,1011100,WHISKEY,BLENDED WHISKIES,24458,KESSLER BLEND WHISKEY,6,1750,11,16.5
74,1062200,RUM,WHITE RUM,45277,PARAMOUNT WHITE RUM,12,1000,4.42,6.63
75,1062400,RUM,SPICED RUM,43331,CAPTAIN MORGAN SPICED RUM MINI,12,500,4.8,7.2
76,1012100,WHISKEY,CANADIAN WHISKIES,15248,WINDSOR CANADIAN PET,6,1750,9.5,14.25
77,1081400,VODKA,AMERICAN SCHNAPPS,81204,PARAMOUNT PEPPERMINT SCHNAPPS,24,375,2.28,3.42
78,1062200,RUM,WHITE RUM,43126,BACARDI SUPERIOR RUM,12,750,8.26,12.39
79,1071100,COCKTAIL,COCKTAILS /RTD,57148,CHI-CHI'S MARGARITA W/TEQUILA,6,1750,6.5,9.75
80,1011100,WHISKEY,BLENDED WHISKIES,23827,FIVE STAR,12,1000,4.4,6.6
81,1041100,GIN,AMERICAN DRY GINS,32233,SEAGRAMS EXTRA DRY GIN,48,200,1.99,2.99
82,1051100,BRANDY,AMERICAN BRANDIES,55246,ARROW WILD CHERRY FLAV BRANDY,12,750,5.38,8.07
83,1011100,WHISKEY,BLENDED WHISKIES,22788,BEAM'S 8 STAR BL WHISKEY,6,1750,8,12
84,1071100,COCKTAIL,COCKTAILS /RTD,984393,99 WATERMELON MINI,10,600,6,9
85,1032100,VODKA,IMPORTED VODKAS,34422,GREY GOOSE VODKA,6,1000,22.5,33.75
86,1031100,VODKA,AMERICAN VODKAS,38180,TITOS HANDMADE MINI,5,600,12.8,19.2
87,1022200,TEQUILA,100% AGAVE TEQUILA,89837,HORNITOS GOLD,12,1000,14.17,21.26
88,1091200,SPIRIT,NEUTRAL GRAIN SPIRITS,41846,EVERCLEAR ALCOHOL,12,750,9,13.5
89,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,76487,PARAMOUNT AMARETTO,12,1000,4.05,6.08
90,1062200,RUM,WHITE RUM,43325,CAPTAIN MORGAN WHITE MINI,12,500,4.8,7.2
91,1031100,VODKA,AMERICAN VODKAS,35918,FIVE O'CLOCK VODKA,6,1750,7.2,10.8
92,1012100,WHISKEY,CANADIAN WHISKIES,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39
93,1032200,VODKA,IMPORTED FLAVORED VODKA,34823,SVEDKA CLEMENTINE VODKA,12,750,8.25,12.38
94,1051100,BRANDY,AMERICAN BRANDIES,53216,PAUL MASSON GRANDE AMBER BRANDY,12,750,6.29,9.44
95,1081200,LIQUEURS,CREAM LIQUEURS,80457,RYAN'S CREAM LIQUEUR,12,1000,7.23,10.85
96,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,19096,JIM BEAM TRAVELER,12,750,10.49,15.74
97,1031100,VODKA,AMERICAN VODKAS,35917,FIVE O'CLOCK VODKA,12,1000,4.17,6.26
98,1062500,RUM,FLAVORED RUM,43415,CAPTAIN MORGAN LIME BITE,12,750,9,13.5
99,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,65254,JAGERMEISTER LIQUEUR,24,375,6.52,9.78
100,1081400,VODKA,AMERICAN SCHNAPPS,81124,99 PEPPERMINT MINI,10,600,6,9
101,1022100,TEQUILA,MIXTO TEQUILA,87937,JUAREZ TEQUILA SILVER,12,1000,8,12
102,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,19226,KNOB CREEK,6,750,19.94,29.91
103,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,65896,METAXA OUZO,12,750,10.49,15.74
104,1082200,VODKA,IMPORTED SCHNAPPS,69637,DR. MCGILLICUDDY'S CHERRY SCHNAPPS,12,1000,11,16.5
105,1081600,WHISKEY,WHISKEY LIQUEUR,64865,FIREBALL CINNAMON WHISKEY PET,12,750,8.98,13.47
106,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,27781,JIM BEAM APPLE,48,100,1.25,1.88
107,1051100,BRANDY,AMERICAN BRANDIES,52318,CHRISTIAN BROS BRANDY,6,1750,11.83,17.75
108,1071100,COCKTAIL,COCKTAILS /RTD,58840,JOSE CUERVO AUTHENTIC GRAPEFRUIT TANGERINE MARGARITA,6,1750,8.74,13.11
109,1081100,LIQUEURS,COFFEE LIQUEURS,67527,KAHLUA COFFEE LIQUEUR,12,1000,14.99,22.49
110,1081400,VODKA,AMERICAN SCHNAPPS,82844,DEKUYPER LUSCIOUS PEACHTREE,24,375,3.06,4.59
111,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,65194,HPNOTIQ,12,375,6.35,9.53
112,1031100,VODKA,AMERICAN VODKAS,36886,MCCORMICK VODKA,12,750,3.31,4.97
113,1052100,BRANDY,IMPORTED BRANDIES,48099,HENNESSY VS,24,200,6.24,9.36
114,1031100,VODKA,AMERICAN VODKAS,37991,SMIRNOFF 80PRF MINI,12,500,7.47,11.21
115,1071100,COCKTAIL,COCKTAILS /RTD,63959,UV BLUE RASPBERRY LEMONADE PET,6,1750,5.97,8.96
116,1032200,VODKA,IMPORTED FLAVORED VODKA,34787,STOLICHNAYA BLUEBERI,12,1000,15.97,23.96
117,1081600,WHISKEY,WHISKEY LIQUEUR,86884,SOUTHERN COMFORT,24,375,4.78,7.17
118,1031100,VODKA,AMERICAN VODKAS,38507,WESTERN SON ORIGINAL VODKA,12,750,9.01,13.52
119,1031100,VODKA,AMERICAN VODKAS,35318,BARTON VODKA,6,1750,6.92,10.38
120,1071100,COCKTAIL,COCKTAILS /RTD,59231,ICE BOX MUDSLIDE,6,1750,6.09,9.14
121,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,80014,BLUE CHAIR BAY KEY LIME CREAM MINI,12,500,6.6,9.9
122,1042100,GIN,IMPORTED DRY GINS,28627,HENDRICK'S GIN,6,1000,21.17,31.76
123,1031100,VODKA,AMERICAN VODKAS,36308,HAWKEYE VODKA,6,1750,7.17,10.76
124,1031100,VODKA,AMERICAN VODKAS,36904,MCCORMICK VODKA PET,24,375,1.8,2.7
125,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,20248,OLD CROW,6,1750,10.49,15.74
126,1012400,WHISKEY,IRISH WHISKIES,15626,JAMESON,12,750,15.99,23.99
127,1012400,WHISKEY,IRISH WHISKIES,15940,TULLAMORE DEW IRISH WHISKY,12,750,15,22.5
128,1012100,WHISKEY,CANADIAN WHISKIES,15246,WINDSOR CANADIAN,12,750,4.67,7.01
129,1012100,WHISKEY,CANADIAN WHISKIES,10808,CROWN ROYAL REGAL APPLE,12,1000,18.89,28.34
130,1081400,VODKA,AMERICAN SCHNAPPS,84170,99 BANANAS,12,750,7.79,11.69
131,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,73715,EVAN WILLIAMS CHERRY RESERVE,12,750,7.94,11.91
132,1022200,TEQUILA,100% AGAVE TEQUILA,87596,EL MAYOR BLANCO,6,750,14,21
133,1081200,LIQUEURS,CREAM LIQUEURS,68011,BAILEYS STRAWBERRIES & CREAM,12,750,13,19.5
134,1032100,VODKA,IMPORTED VODKAS,34856,TANQUERAY STERLING VODKA,12,750,7,10.5
135,1051100,BRANDY,AMERICAN BRANDIES,56193,PAUL MASSON PEACH GRANDE AMBER BRANDY,24,200,1.96,2.94
136,1081200,LIQUEURS,CREAM LIQUEURS,80487,TIPPY COW VANILLA SOFT SERVE,6,750,10,15
137,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,84211,99 ROOTBEER,12,750,7.79,11.69
138,1062500,RUM,FLAVORED RUM,42716,MALIBU COCONUT RUM,12,750,7.49,11.24
139,1081600,WHISKEY,WHISKEY LIQUEUR,86886,SOUTHERN COMFORT,12,750,10.33,15.5
140,1031200,VODKA,AMERICAN FLAVORED VODKA,77688,SMIRNOFF LIME,12,750,8.25,12.38
141,1032100,VODKA,IMPORTED VODKAS,34421,GREY GOOSE VODKA MINI,10,600,20,30
142,1081600,WHISKEY,WHISKEY LIQUEUR,66213,PIEHOLE PECAN PIE,12,750,7.49,11.24
143,1901200,SPECIAL,SPECIAL ORDER ITEMS,902499,HIRAM WALKER PEACH SCHNAPPS,12,1000,4.5,6.75
144,1031100,VODKA,AMERICAN VODKAS,36965,NEW AMSTERDAM VODKA MINI,10,500,5.54,8.31
145,1031100,VODKA,AMERICAN VODKAS,36186,GORDON'S VODKA 80 PRF,12,750,5.26,7.89
146,1081200,LIQUEURS,CREAM LIQUEURS,73053,RUMCHATA,6,1000,16.34,24.51
147,1071100,COCKTAIL,COCKTAILS /RTD,58868,JOSE CUERVO AUTHENTIC STRAWBERRY MARGARITA,6,1750,8.74,13.11
148,1081200,LIQUEURS,CREAM LIQUEURS,68034,BAILEYS ORIGINAL IRISH CREAM,12,375,7,10.5
149,1012200,WHISKEY,SCOTCH WHISKIES,10006,SCORESBY RARE SCOTCH,12,750,5.13,7.7
150,1031100,VODKA,AMERICAN VODKAS,36301,HAWKEYE VODKA 80 PRF MINI,12,500,4.13,6.2
151,1051100,BRANDY,AMERICAN BRANDIES,55087,PARAMOUNT BLACKBERRY BRANDY,12,1000,6.53,9.8
152,1062100,RUM,GOLD RUM,45246,PARAMOUNT GOLD RUM,12,750,4,6
153,1012100,WHISKEY,CANADIAN WHISKIES,11771,BLACK VELVET MINI,10,600,6.8,10.2
154,1031200,VODKA,AMERICAN FLAVORED VODKA,39704,WESTERN SON PRICKLY PEAR VODKA MINI,6,50,4.83,7.25
155,1082200,VODKA,IMPORTED SCHNAPPS,69634,DR. MCGILLICUDDY'S CHERRY SCHNAPPS,24,375,5.33,8
156,1022200,TEQUILA,100% AGAVE TEQUILA,88185,OLMECA PLATA,24,375,4.99,7.49
157,1051100,BRANDY,AMERICAN BRANDIES,54056,ARROW APRICOT FLAV BRANDY,12,750,5.38,8.07
158,1031200,VODKA,AMERICAN FLAVORED VODKA,41693,UV BLUE (RASPBERRY) VODKA,12,750,6.5,9.75
159,1081200,LIQUEURS,CREAM LIQUEURS,68037,BAILEYS ORIGINAL IRISH CREAM,12,1000,16.74,25.11
160,1041100,GIN,AMERICAN DRY GINS,31657,PARAMOUNT GIN,12,1000,4.3,6.45
161,1081400,VODKA,AMERICAN SCHNAPPS,83363,ICE HOLE BUTTERSCOTCH SCHNAPPS,12,750,5.15,7.73
162,1052100,BRANDY,IMPORTED BRANDIES,66295,REMY MARTIN V,24,200,4.63,6.95
163,1081200,LIQUEURS,CREAM LIQUEURS,68017,BAILEYS CHOCOLATE CHERRY,12,750,13,19.5
164,1011600,WHISKEY,STRAIGHT RYE WHISKIES,27100,SAZERAC RYE,6,750,16.94,25.41
165,1031200,VODKA,AMERICAN FLAVORED VODKA,41840,BURNETT'S LIMEADE VODKA,12,750,4.48,6.72
166,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,75226,KINKY RED LIQUEUR,12,750,10,15
167,1062200,RUM,WHITE RUM,45275,PARAMOUNT WHITE RUM TRAVELER,12,750,4,6
168,1031100,VODKA,AMERICAN VODKAS,36258,DEHNER DISTILLERY VODKA,12,750,5,7.5
169,1062500,RUM,FLAVORED RUM,44350,CALICO JACK CHERRY,12,750,6.29,9.44
170,1031100,VODKA,AMERICAN VODKAS,38056,SWELL VODKA,12,750,6,9
171,1022200,TEQUILA,100% AGAVE TEQUILA,89175,DON JULIO ANEJO TEQUILA,6,750,33.49,50.24
172,1032200,VODKA,IMPORTED FLAVORED VODKA,34395,EFFEN CUCUMBER,6,750,12.5,18.75
173,1031100,VODKA,AMERICAN VODKAS,36307,HAWKEYE VODKA,12,1000,4.05,6.08
174,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,66240,ROTHMAN & WINTER CREME DE VIOLETTE LIQUEUR,12,750,12.42,18.63
175,1022100,TEQUILA,MIXTO TEQUILA,89387,JUAREZ TEQUILA GOLD,12,1000,8,12
176,1022200,TEQUILA,100% AGAVE TEQUILA,87619,ESPOLON BLANCO,6,750,14,21
177,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,84171,99 BANANAS,48,100,0.89,1.34
178,1012100,WHISKEY,CANADIAN WHISKIES,11294,CROWN ROYAL CANADIAN WHISKY,24,375,8,12
179,1022200,TEQUILA,100% AGAVE TEQUILA,87250,CABO WABO BLANCO,6,750,19,28.5
180,1041100,GIN,AMERICAN DRY GINS,30238,GILBEY'S GIN LONDON DRY,6,1750,10.49,15.74
181,1031100,VODKA,AMERICAN VODKAS,37417,POPOV VODKA 80 PRF,12,1000,5.5,8.25
182,1031100,VODKA,AMERICAN VODKAS,38008,SMIRNOFF PET 80PRF,6,1750,14.75,22.13
183,1031200,VODKA,AMERICAN FLAVORED VODKA,41691,UV BLUE RASPBERRY VODKA MINI,12,500,4.4,6.6
184,1031100,VODKA,AMERICAN VODKAS,36447,INGENIOZ,12,750,12.54,18.81
185,1062400,RUM,SPICED RUM,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.06,13.59
186,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,19068,JIM BEAM,6,1750,20.99,31.49
187,1081600,WHISKEY,WHISKEY LIQUEUR,64864,FIREBALL CINNAMON WHISKY,24,375,5.33,8
188,1071100,COCKTAIL,COCKTAILS /RTD,62400,MARGARITAVILLE CLASSIC LIME MARGARITA,6,1750,6.35,9.53
189,1011600,WHISKEY,STRAIGHT RYE WHISKIES,27025,BULLEIT 95 RYE,12,750,16,24
190,1012100,WHISKEY,CANADIAN WHISKIES,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85
191,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,79336,PARAMOUNT CREME DE MENTHE/GREEN,12,750,5,7.5
192,1051100,BRANDY,AMERICAN BRANDIES,53214,PAUL MASSON GRANDE AMBER BRANDY,24,375,3.22,4.83
193,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,65251,JAGERMEISTER LIQUEUR MINI,5,1200,29.53,44.3
194,1082200,VODKA,IMPORTED SCHNAPPS,69711,DR. MCGILLCUDDYS WILD GRAPE,12,750,8.66,12.99
195,1081100,LIQUEURS,COFFEE LIQUEURS,67557,KAMORA COFFEE LIQUEUR,12,1000,8.39,12.59
196,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,64870,FIREBALL CINNAMON,48,100,0.9,1.35
197,1032200,VODKA,IMPORTED FLAVORED VODKA,34030,ABSOLUT CITRON (LEMON VODKA),12,750,11.49,17.24
198,1031100,VODKA,AMERICAN VODKAS,35317,BARTON VODKA,12,1000,3.97,5.96
199,1031100,VODKA,AMERICAN VODKAS,37347,PHILLIPS VODKA,12,1000,4.29,6.44
200,1052100,BRANDY,IMPORTED BRANDIES,47786,COURVOISIER VS COGNAC,12,750,16.79,25.19
201,1012200,WHISKEY,SCOTCH WHISKIES,10008,SCORESBY RARE SCOTCH,6,1750,10.5,15.75
202,1011400,WHISKEY,TENNESSEE WHISKIES,26823,JACK DANIELS OLD #7 BLACK LBL,48,200,4.23,6.35
203,1051100,BRANDY,AMERICAN BRANDIES,55086,PARAMOUNT BLACKBERRY BRANDY,12,750,5.48,8.22
204,1062100,RUM,GOLD RUM,42507,MT. GAY BLACK BARREL,12,750,14.99,22.49
205,1011100,WHISKEY,BLENDED WHISKIES,23826,FIVE STAR,12,750,3.5,5.25
206,1031100,VODKA,AMERICAN VODKAS,36968,NEW AMSTERDAM VODKA,24,375,3.5,5.25
207,1012400,WHISKEY,IRISH WHISKIES,15866,THE SEXTON,12,750,15,22.5
208,1062500,RUM,FLAVORED RUM,43137,BACARDI LIMON,12,1000,9.5,14.25
209,1011400,WHISKEY,TENNESSEE WHISKIES,86692,JACK DANIEL'S TENNESSEE FIRE,12,750,15.57,23.36
210,1081200,LIQUEURS,CREAM LIQUEURS,80456,RYAN'S CREAM LIQUEUR,12,750,6.03,9.05
211,1081200,LIQUEURS,CREAM LIQUEURS,68022,BAILEYS SALTED CARAMEL,12,750,13,19.5
212,1041100,GIN,AMERICAN DRY GINS,31719,PHILLIPS GIN,12,1000,4.38,6.57
213,1011400,WHISKEY,TENNESSEE WHISKIES,26827,JACK DANIELS OLD #7 BLACK LBL,12,1000,18.89,28.34
214,1031100,VODKA,AMERICAN VODKAS,36903,MCCORMICK VODKA,48,200,1.13,1.7
215,1022100,TEQUILA,MIXTO TEQUILA,87408,JOSE CUERVO ESPECIAL SILVER,12,750,11.07,16.61
216,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,27410,JIM BEAM HONEY,12,750,10.49,15.74
217,1062400,RUM,SPICED RUM,44448,CRUZAN 9,12,750,6.83,10.25
218,1031200,VODKA,AMERICAN FLAVORED VODKA,77375,SMIRNOFF SORBET LIGHT MANGO PASSION FRUIT,12,750,8.25,12.38
219,1022100,TEQUILA,MIXTO TEQUILA,89198,JOSE CUERVO ESPECIAL REPOSADO TEQUILA,6,1750,21,31.5
220,1062200,RUM,WHITE RUM,45278,PARAMOUNT WHITE RUM,6,1750,7.84,11.76
221,1031100,VODKA,AMERICAN VODKAS,36304,HAWKEYE VODKA,24,375,1.86,2.79
222,1022100,TEQUILA,MIXTO TEQUILA,89199,JOSE CUERVO ESPECIAL REPOSADO SQUARE,12,375,5.5,8.25
223,1012300,WHISKEY,SINGLE MALT SCOTCH,5404,LAPHROAIG SELECT,6,750,23.62,35.43
224,1012400,WHISKEY,IRISH WHISKIES,15604,HELL CAT MAGGIE,12,750,12.49,18.74
225,1081400,VODKA,AMERICAN SCHNAPPS,82605,DEKUYPER SOUR APPLE PUCKER PET,12,750,6.47,9.71
226,1011400,WHISKEY,TENNESSEE WHISKIES,86670,JACK DANIEL'S TENNESSEE HONEY,12,750,15.57,23.36
227,1012100,WHISKEY,CANADIAN WHISKIES,10632,CANADIAN CLUB RESERVE TRIPLE AGED,12,750,9.97,14.96
228,1062400,RUM,SPICED RUM,43022,ADMIRAL NELSON SPICED RUM MINI,12,500,3.78,5.67
229,1011100,WHISKEY,BLENDED WHISKIES,23626,FIVE STAR PET,12,750,3.5,5.25
230,1041100,GIN,AMERICAN DRY GINS,29287,BARTON GIN,12,1000,3.92,5.88
231,1012100,WHISKEY,CANADIAN WHISKIES,11347,SEAGRAMS V.O. BL CANADIAN WHISKY,12,1000,9.99,14.99
232,1031100,VODKA,AMERICAN VODKAS,36667,KORSKI VODKA,12,1000,4.32,6.48
233,1012300,WHISKEY,SINGLE MALT SCOTCH,5004,GLENFIDDICH 12YR SINGLE MALT SCOTCH,24,375,11.5,17.25
234,1012100,WHISKEY,CANADIAN WHISKIES,12478,CANADIAN MIST CANADIAN WHY PET,6,1750,11.06,16.59
235,1082200,VODKA,IMPORTED SCHNAPPS,69638,DR. MCGILLICUDDY'S CHERRY SCHNAPPS,6,1750,14.66,21.99
236,1081600,WHISKEY,WHISKEY LIQUEUR,86883,SOUTHERN COMFORT,48,200,2.64,3.96
237,1081300,LIQUEURS,AMERICAN CORDIALS & LIQUEUR,76486,PARAMOUNT AMARETTO,12,750,3.5,5.25
238,1012100,WHISKEY,CANADIAN WHISKIES,11586,BLACK VELVET RESERVE,12,750,7,10.5
239,1032200,VODKA,IMPORTED FLAVORED VODKA,34015,ABSOLUT APEACH,12,1000,14.99,22.49
240,1031200,VODKA,AMERICAN FLAVORED VODKA,41326,BURNETT'S CITRUS,12,750,4.48,6.72
