Invoice/Item Number,Date,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Store ID,Product ID,Vendor ID,Shipping ID
INV-15942400024,9/1/2018,12,163.08,9,2.37,1078,185,5,4434
INV-16414000018,9/1/2018,12,163.08,9,2.37,1108,732,5,4840
INV-17039900005,9/1/2018,12,163.08,9,2.37,701,185,5,5344
INV-17079100002,9/1/2018,12,163.08,9,2.37,500,185,5,5348
INV-16830400016,9/1/2018,12,163.08,9,2.37,147,185,5,5362
INV-17685800003,9/1/2018,12,163.08,9,2.37,923,185,5,5573
INV-17397500017,10/1/2018,12,163.08,9,2.37,1174,185,5,5574
INV-17749200007,10/1/2018,12,163.08,9,2.37,413,732,5,5685
INV-17399700014,10/1/2018,12,163.08,9,2.37,1188,732,5,5740
INV-18453100005,10/1/2018,12,163.08,9,2.37,1217,185,5,6220
INV-18614800007,10/1/2018,12,163.08,9,2.37,1181,185,5,6442
INV-18468100006,10/1/2018,12,163.08,9,2.37,587,185,5,6660
INV-19568600072,10/1/2018,12,163.08,9,2.37,23,185,5,6849
INV-19172500002,10/1/2018,12,163.08,9,2.37,660,732,5,6998
INV-19727000029,10/1/2018,12,163.08,9,2.37,251,732,5,7127
INV-19759100006,10/1/2018,12,163.08,9,2.37,1012,185,5,7468
INV-21189700019,10/1/2018,12,163.08,9,2.37,747,732,5,8153
INV-21142400121,10/1/2018,12,163.08,9,2.37,48,185,5,8223
INV-21748700095,10/1/2018,12,163.08,9,2.37,48,732,5,8455
INV-22136600002,10/1/2018,12,163.08,9,2.37,8,185,5,8636
INV-22175200004,10/1/2018,12,163.08,9,2.37,1384,185,5,8755
INV-22906500014,10/1/2018,12,163.08,9,2.37,805,185,5,9074
INV-22936000009,10/1/2018,12,163.08,9,2.37,965,732,5,9224
INV-23225500010,10/1/2018,12,163.08,9,2.37,645,185,5,9241
INV-23376300018,10/1/2018,12,163.08,9,2.37,1418,732,5,9279
INV-23575700012,10/1/2018,12,163.08,9,2.37,98,732,5,9299
INV-23195400027,10/1/2018,12,163.08,9,2.37,341,732,5,9453
INV-23847100001,10/1/2018,12,163.08,9,2.37,1228,732,5,9831
INV-25526200015,10/1/2018,12,163.08,9,2.37,1066,2453,5,10838
INV-25343200007,10/1/2018,12,163.08,9,2.37,6,185,5,10847
INV-26726500044,10/1/2018,12,163.08,9,2.37,345,732,5,11450
INV-26365800100,11/1/2018,12,163.08,9,2.37,47,185,5,11588
INV-26710700013,11/1/2018,12,163.08,9,2.37,382,185,5,11624
INV-27290200214,11/1/2018,12,163.08,9,2.37,137,732,5,11989
INV-27384200053,11/1/2018,12,163.08,9,2.37,21,2453,5,12116
INV-28159300001,11/1/2018,12,163.08,9,2.37,1459,732,5,12335
INV-28244400006,11/1/2018,12,163.08,9,2.37,1335,185,5,12556
INV-28506400011,11/1/2018,12,163.08,9,2.37,420,2453,5,12764
INV-28615600021,11/1/2018,12,163.08,9,2.37,1188,732,5,12863
INV-29808800014,11/1/2018,12,163.08,9,2.37,1485,732,5,13062
INV-29237100131,11/1/2018,12,163.08,9,2.37,116,2453,5,13338
INV-30252700140,11/1/2018,12,163.08,9,2.37,31,185,5,13845
INV-30791200011,11/1/2018,12,163.08,9,2.37,983,185,5,14034
INV-32098000002,11/1/2018,12,163.08,9,2.37,1692,185,5,14451
INV-32312200060,11/1/2018,12,163.08,9,2.37,305,732,5,14585
INV-31663600018,11/1/2018,12,163.08,9,2.37,423,732,5,14661
INV-32493500033,11/1/2018,12,163.08,9,2.37,395,185,5,14717
INV-33009200079,11/1/2018,12,163.08,9,2.37,215,2453,5,14766
INV-33436500003,11/1/2018,12,163.08,9,2.37,1325,185,5,15124
INV-33701300006,11/1/2018,12,163.08,9,2.37,1491,185,5,15341
INV-33895900004,11/1/2018,12,163.08,9,2.37,914,185,5,15416
INV-33812100007,11/1/2018,12,163.08,9,2.37,374,732,5,15428
INV-33630000005,11/1/2018,12,163.08,9,2.37,675,185,5,15447
INV-34215800011,11/1/2018,12,163.08,9,2.37,665,185,5,15895
INV-35178700005,12/1/2018,12,163.08,9,2.37,1228,732,5,16033
INV-35273700036,12/1/2018,12,163.08,9,2.37,345,732,5,16215
INV-35413800007,12/1/2018,12,163.08,9,2.37,1609,185,5,16255
INV-36021600015,12/1/2018,12,163.08,9,2.37,1359,732,5,16568
INV-36127000035,12/1/2018,12,163.08,9,2.37,226,732,5,16647
INV-35560300020,12/1/2018,12,163.08,9,2.37,1329,2453,5,16792
INV-36373600037,12/1/2018,12,163.08,9,2.37,21,2453,5,16964
INV-36758100010,12/1/2018,12,163.08,9,2.37,1719,732,5,16995
INV-38273700134,12/1/2018,12,163.08,9,2.37,118,2453,5,17788
INV-38486500006,12/1/2018,12,163.08,9,2.37,1629,185,5,17936
INV-39459100016,12/1/2018,12,163.08,9,2.37,1252,2780,5,18201
INV-39094300014,15/1/2018,12,163.08,9,2.37,522,185,5,18359
INV-38941600014,15/1/2018,12,163.08,9,2.37,1029,185,5,18442
INV-40566600066,15/1/2018,12,163.08,9,2.37,919,185,5,18687
INV-39942400019,15/1/2018,12,163.08,9,2.37,1888,2780,5,18820
INV-41024600083,15/1/2018,12,163.08,9,2.37,137,732,5,18915
INV-40669000057,15/1/2018,12,163.08,9,2.37,212,2780,5,19159
INV-42410100021,15/1/2018,12,163.08,9,2.37,1095,185,5,19360
INV-43116300006,15/1/2018,12,163.08,9,2.37,699,185,5,19823
INV-42579600016,15/1/2018,12,163.08,9,2.37,96,185,5,20044
INV-14049900005,15/1/2018,12,225,9,2.37,707,775,5,3099
INV-13725700254,15/1/2018,12,148.68,9,2.37,35,1144,5,3339
INV-14215100007,15/1/2018,12,280.68,9,2.37,585,245,5,3364
INV-14663800010,15/1/2018,12,234,9,2.37,11,469,5,3527
INV-14433300006,15/1/2018,12,280.68,9,2.37,391,1184,5,3547
INV-14252900007,15/1/2018,12,215.88,9,2.37,996,933,5,3566
INV-14598000021,15/1/2018,12,280.68,9,2.37,998,1193,5,3585
INV-14318900006,15/1/2018,12,90,9,2.37,219,549,5,3627
INV-14372400039,15/1/2018,12,280.68,9,2.37,377,1184,5,3719
INV-14919600010,15/1/2018,12,135,9,2.37,81,1224,5,3797
INV-14737700124,15/1/2018,12,148.68,9,2.37,203,790,5,3924
INV-15070700072,15/1/2018,12,225,9,2.37,468,775,5,3936
INV-15273700025,15/1/2018,12,243,9,2.37,348,57,5,3941
INV-15110500020,15/1/2018,12,126,9,2.37,837,37,5,3959
INV-15123600014,15/1/2018,12,234,9,2.37,133,779,5,4085
INV-15603400065,15/1/2018,12,225,9,2.37,169,775,5,4228
INV-15564100117,15/1/2018,12,377.88,9,2.37,68,447,5,4232
INV-15824500004,15/1/2018,12,280.68,9,2.37,81,330,5,4312
INV-15466200023,15/1/2018,12,423,9,2.37,326,1352,5,4314
INV-15991900073,15/1/2018,12,234,9,2.37,169,645,5,4440
INV-16005100004,15/1/2018,12,280.68,9,2.37,291,245,5,4480
INV-15915500007,16/1/2018,12,135,9,2.37,912,37,5,4620
INV-16489800022,16/1/2018,12,288,9,2.37,770,351,5,4742
INV-16236900024,16/1/2018,12,81,9,2.37,328,889,5,4748
INV-16020400079,16/1/2018,12,234,9,2.37,300,1357,5,4757
INV-16369800018,16/1/2018,12,280.68,9,2.37,724,92,5,4774
INV-16360400003,16/1/2018,12,188.88,9,2.37,452,263,5,4901
INV-16355600002,16/1/2018,12,234,9,2.37,1121,645,5,4945
INV-16130400017,16/1/2018,12,280.68,9,2.37,372,245,5,5017
INV-16273200002,16/1/2018,12,234,9,2.37,401,679,5,5018
INV-16943300001,16/1/2018,12,234,9,2.37,533,270,5,5132
INV-17255400030,16/1/2018,12,288,9,2.37,1,351,5,5210
INV-16774100007,16/1/2018,12,135,9,2.37,697,37,5,5225
INV-17279200007,16/1/2018,12,234,9,2.37,302,645,5,5317
INV-16864600001,16/1/2018,12,135,9,2.37,185,37,5,5356
INV-17016500002,16/1/2018,12,280.68,9,2.37,825,245,5,5404
INV-17002800058,16/1/2018,12,280.68,9,2.37,260,92,5,5421
INV-16710900005,16/1/2018,12,234,9,2.37,230,270,5,5457
INV-17683100001,16/1/2018,12,280.68,9,2.37,448,330,5,5463
INV-17306800001,16/1/2018,12,280.68,9,2.37,640,751,5,5473
INV-17553900003,17/1/2018,12,280.68,9,2.37,91,245,5,5477
INV-17706500008,17/1/2018,12,288,9,2.37,461,351,5,5570
INV-17725700025,17/1/2018,12,171,9,2.37,248,342,5,5623
INV-17698700029,17/1/2018,12,296.88,9,2.37,349,915,5,5668
INV-18130300055,17/1/2018,12,234,9,2.37,300,645,5,5928
INV-18628200093,17/1/2018,12,280.68,9,2.37,51,92,5,6498
INV-18929800002,17/1/2018,12,280.68,9,2.37,530,330,5,6620
INV-19430900001,17/1/2018,12,243,9,2.37,206,951,5,6842
INV-19725200038,17/1/2018,12,280.68,9,2.37,505,245,5,6858
INV-19260600011,17/1/2018,12,288,9,2.37,919,351,5,6927
INV-19259400034,17/1/2018,12,280.68,9,2.37,9,92,5,7039
INV-19314300130,17/1/2018,12,90,9,2.37,300,549,5,7083
INV-19727500071,17/1/2018,12,126,9,2.37,294,1874,5,7092
INV-19314400033,17/1/2018,12,288,9,2.37,370,351,5,7099
INV-20200300058,17/1/2018,12,288,9,2.37,348,351,5,7162
INV-19831800055,17/1/2018,12,225,9,2.37,443,1208,5,7231
INV-20192000053,17/1/2018,12,280.68,9,2.37,983,245,5,7235
INV-20024200009,17/1/2018,12,234,9,2.37,1055,270,5,7410
INV-19921300021,17/1/2018,12,234,9,2.37,326,133,5,7425
INV-19887800025,18/1/2018,12,135,9,2.37,193,1595,5,7446
INV-20213200003,18/1/2018,12,234,9,2.37,563,645,5,7447
INV-19797900013,18/1/2018,12,90,9,2.37,501,549,5,7462
INV-20012700014,18/1/2018,12,423,9,2.37,483,1352,5,7528
INV-20827700007,18/1/2018,12,135,9,2.37,46,1595,5,7575
INV-20848800001,18/1/2018,12,280.68,9,2.37,1305,245,5,7645
INV-20381400119,18/1/2018,12,234,9,2.37,249,270,5,7649
INV-20415500016,18/1/2018,12,296.88,9,2.37,42,991,5,7669
INV-20456300118,18/1/2018,12,162,9,2.37,137,1961,5,7771
INV-20963500003,18/1/2018,12,280.68,9,2.37,559,92,5,7832
INV-20827700005,18/1/2018,12,288,9,2.37,46,351,5,7875
INV-20764000005,18/1/2018,12,280.68,9,2.37,1179,92,5,7908
INV-21386100026,19/1/2018,12,297,9,2.37,1335,351,5,7989
INV-21282000136,19/1/2018,12,289.68,9,2.37,51,1989,5,7990
INV-21415600013,19/1/2018,12,289.68,9,2.37,208,1989,5,8122
INV-21085700010,19/1/2018,12,188.88,9,2.37,770,263,5,8193
INV-21539000001,19/1/2018,12,289.68,9,2.37,1113,1989,5,8274
INV-21557500006,19/1/2018,12,289.68,9,2.37,975,1989,5,8320
INV-21114100020,19/1/2018,12,90,9,2.37,919,549,5,8368
INV-21655000025,19/1/2018,12,289.68,9,2.37,737,1989,5,8402
INV-22123900074,22/1/2018,12,135,9,2.37,30,1595,5,8489
INV-21636300123,22/1/2018,12,243,9,2.37,396,270,5,8510
INV-21982800025,22/1/2018,12,297,9,2.37,165,351,5,8516
INV-21742600045,22/1/2018,12,225,9,2.37,64,775,5,8540
INV-21736500001,22/1/2018,12,280.68,9,2.37,523,1193,5,8585
INV-21654300001,22/1/2018,12,289.68,9,2.37,841,1989,5,8641
INV-21978400134,22/1/2018,12,234,9,2.37,158,679,5,8704
INV-21663000030,22/1/2018,12,297,9,2.37,238,351,5,8708
INV-21634700024,22/1/2018,12,171,9,2.37,44,342,5,8735
INV-22934600105,22/1/2018,12,280.68,9,2.37,468,245,5,9036
INV-22401900013,22/1/2018,12,280.68,9,2.37,1401,245,5,9085
INV-22506700006,22/1/2018,12,243,9,2.37,904,2181,5,9112
INV-22434700013,23/1/2018,12,280.68,9,2.37,554,92,5,9132
INV-22577600005,23/1/2018,12,280.68,9,2.37,92,245,5,9191
INV-22303700028,23/1/2018,12,225,9,2.37,35,1013,5,9193
INV-22254300004,23/1/2018,12,135,9,2.37,501,37,5,9199
INV-23261700003,23/1/2018,12,306,9,2.37,1005,598,5,9289
INV-23053300042,23/1/2018,12,215.88,9,2.37,396,933,5,9383
INV-23489500064,23/1/2018,12,188.88,9,2.37,326,263,5,9387
INV-23106900031,23/1/2018,12,180,9,2.37,320,1586,5,9491
INV-23092400043,23/1/2018,12,243,9,2.37,739,779,5,9540
INV-23207400019,23/1/2018,12,297,9,2.37,165,351,5,9551
INV-23511900026,23/1/2018,12,297,9,2.37,785,351,5,9556
INV-23362400052,23/1/2018,12,243,9,2.37,46,2181,5,9593
INV-23256200051,23/1/2018,12,280.68,9,2.37,349,330,5,9647
INV-24225800002,23/1/2018,12,280.68,9,2.37,515,245,5,9816
INV-23849900102,23/1/2018,12,188.88,9,2.37,107,263,5,9817
INV-24070400058,23/1/2018,12,243,9,2.37,48,645,5,9943
INV-24000500155,23/1/2018,12,243,9,2.37,345,1357,5,9957
INV-24042200124,23/1/2018,12,234,9,2.37,1189,679,5,10061
INV-24900500076,23/1/2018,12,225,9,2.37,108,1208,5,10219
INV-24436400012,23/1/2018,12,280.68,9,2.37,1478,92,5,10346
INV-24432000028,23/1/2018,12,306,9,2.37,370,1107,5,10378
INV-25377600012,24/1/2018,12,280.68,9,2.37,1042,92,5,10515
INV-24996400009,24/1/2018,12,188.88,9,2.37,720,263,5,10652
INV-25470700022,24/1/2018,12,225,9,2.37,370,1208,5,10684
INV-25557400025,24/1/2018,12,280.68,9,2.37,904,330,5,10922
INV-25913800014,24/1/2018,12,298.68,9,2.37,543,1989,5,10923
INV-25668800036,24/1/2018,12,181.08,9,2.37,597,666,5,10934
INV-25720300017,24/1/2018,12,298.68,9,2.37,605,1989,5,10979
INV-25782500001,24/1/2018,12,298.68,9,2.37,550,1989,5,11152
INV-26067900032,24/1/2018,12,135,9,2.37,263,37,5,11153
INV-26099800005,24/1/2018,12,135,9,2.37,353,37,5,11208
INV-25832100012,24/1/2018,12,298.68,9,2.37,461,1989,5,11286
INV-26102100035,24/1/2018,12,297,9,2.37,1,351,5,11323
INV-25998600102,24/1/2018,12,296.88,9,2.37,977,270,5,11330
INV-26729900022,24/1/2018,12,280.68,9,2.37,92,92,5,11397
INV-26787300018,24/1/2018,12,135,9,2.37,185,37,5,11591
INV-26538700133,24/1/2018,12,298.68,9,2.37,238,1989,5,11610
INV-26655200011,24/1/2018,12,135,9,2.37,32,37,5,11650
INV-26795500099,24/1/2018,12,135,9,2.37,28,1595,5,11684
INV-26963900006,24/1/2018,12,135,9,2.37,294,37,5,11807
INV-27356700035,24/1/2018,12,280.68,9,2.37,667,92,5,11839
INV-27143900018,24/1/2018,12,225,9,2.37,866,775,5,11987
INV-27119100045,24/1/2018,12,280.68,9,2.37,481,92,5,12043
INV-27335100006,24/1/2018,12,188.88,9,2.37,494,263,5,12069
INV-27481800044,24/1/2018,12,296.88,9,2.37,122,133,5,12138
INV-27726400048,24/1/2018,12,296.88,9,2.37,597,270,5,12193
INV-27612900084,24/1/2018,12,225,9,2.37,396,1197,5,12218
INV-27665700007,24/1/2018,12,280.68,9,2.37,1105,92,5,12294
INV-28088000014,24/1/2018,12,135,9,2.37,674,37,5,12389
INV-28225200003,24/1/2018,12,531,9,2.37,17,625,5,12412
INV-28385900005,25/1/2018,12,280.68,9,2.37,31,92,5,12436
INV-28114200010,25/1/2018,12,297,9,2.37,824,351,5,12466
INV-28062900054,25/1/2018,12,297,9,2.37,165,351,5,12505
INV-28775000012,25/1/2018,12,280.68,9,2.37,106,245,5,12628
INV-28693400015,25/1/2018,12,280.68,9,2.37,118,245,5,12675
INV-28721100024,25/1/2018,12,135,9,2.37,867,1595,5,12929
INV-28941300035,25/1/2018,12,234,9,2.37,91,679,5,12933
INV-28585400025,25/1/2018,12,225,9,2.37,30,1335,5,12956
INV-28676100178,25/1/2018,12,377.88,9,2.37,1601,447,5,12961
INV-29037000041,25/1/2018,12,280.68,9,2.37,983,245,5,13016
INV-29430300050,25/1/2018,12,215.88,9,2.37,298,933,5,13053
INV-29376200001,25/1/2018,12,298.68,9,2.37,963,1989,5,13068
INV-29324200023,25/1/2018,12,135,9,2.37,632,37,5,13105
INV-29857700006,26/1/2018,12,296.88,9,2.37,82,2732,5,13132
INV-29335700051,26/1/2018,12,280.68,9,2.37,209,330,5,13161
INV-29548900005,26/1/2018,12,297,9,2.37,1146,351,5,13167
INV-29389200002,26/1/2018,12,280.68,9,2.37,1146,245,5,13168
INV-29809700019,26/1/2018,12,450,9,2.37,133,680,5,13216
INV-29230900005,26/1/2018,12,243,9,2.37,1627,645,5,13238
INV-29641400166,26/1/2018,12,135,9,2.37,51,1595,5,13268
INV-29741500049,26/1/2018,12,297,9,2.37,1631,189,5,13309
INV-29256700018,29/1/2018,12,296.88,9,2.37,170,668,5,13328
INV-29598700105,29/1/2018,12,1007.88,9,2.37,300,976,5,13424
INV-30228200002,29/1/2018,12,289.68,9,2.37,387,1184,5,13451
INV-30386300036,29/1/2018,12,148.68,9,2.37,30,790,5,13507
INV-30033600015,29/1/2018,12,135,9,2.37,1647,37,5,13563
INV-29926800006,29/1/2018,12,280.68,9,2.37,46,245,5,13683
INV-31434900001,29/1/2018,12,297,9,2.37,821,351,5,13869
INV-31340300016,29/1/2018,12,280.68,9,2.37,1222,245,5,13910
INV-31070300002,29/1/2018,12,298.68,9,2.37,712,1989,5,13988
INV-30824900003,29/1/2018,12,315,9,2.37,949,598,5,14105
INV-31521000004,29/1/2018,12,386.88,9,2.37,1154,603,5,14256
INV-31928800086,29/1/2018,12,386.88,9,2.37,28,603,5,14302
INV-31611900002,30/1/2018,12,280.68,9,2.37,1285,245,5,14418
INV-31880200009,30/1/2018,12,280.68,9,2.37,517,92,5,14446
INV-32173400021,30/1/2018,12,243,9,2.37,1556,951,5,14476
INV-32290500012,30/1/2018,12,204,9,2.37,659,775,5,14483
